"Sample.ID","norm.fsc","norm.fsc.sd","norm.chl","norm.chl.sd","abundance_cells.mL","abundance_cells.mL.sd","pgC.cell","pgN.cell","pgC.cell.sd","pgN.cell.sd"
"1314",0.03,0,0.645,0.0212132034355964,18933746.4899234,106437.27522915,0.0379322708467776,0.00570586140417739,0.00405291795270943,0.00184514293930937
"7803",0.105,0.00707106781186547,2.275,0.148492424049175,21035468.7054709,308526.263596523,0.560887061207471,0.0980101236567071,0.0200805084027234,0.00359781573768192
"AS9601",0.05,0,1.04,0.0707106781186548,174048357.197677,143638.616552462,0.0512895134378924,0.00816331239131608,0.00250464763814635,0.000385849542502779
"MED4",0.02,0,0.465,0.0212132034355964,95140718.5628743,527860.152023467,0.0341407740737221,0.00636262216091303,0.00022981446010425,0.000104260284620226
"MICRO",0.72,0.0282842712474619,6.395,0.219203102167829,96865.1393906209,9660.7252078961,1.23859489342372,0.367968637195649,0.505607517873795,0.0448310140430885
"NAT12A",0.05,0,1.025,0.0494974746830584,4385715.64659826,115133.024403117,0.0875493756565105,0.0107419438003331,0.0134623187572798,0.00225357106520569
"NAV",2.04,0,18.12,0,25324.2910634049,3235.18944748273,8.45652716584042,1.1965674481258,1.19671742332482,0.308783658160466
"PT 632",0.615,0.0494974746830584,5.51,0.43840620433566,94696.0157438258,51991.9111843955,11.7389017243049,1.76619539044234,8.32006831701449,1.32499760556876
"TAPS 1135",4.745,0.233345237791561,42.215,2.02939646200539,14631.8747094323,1221.40362938296,19.432422956486,1.63433144931076,5.19108596251748,0.402648852756104
"TAPS 3367",3.91,0.014142135623731,34.805,0.134350288425442,27003.5085708586,34.5940874572755,15.0498138763558,2.36858108637373,1.93337746936735,2.38673330912002
"WH8102",0.11,0,2.32,0.0848528137423858,44182572.1994604,4301148.17336115,0.261455277309721,0.0452674716244284,0.0259774621701767,0.00527216920909402
